iter	Passed	Remaining
0	136	136192
1	138	69044
2	140	46612
3	141	35315
4	143	28492
5	144	23929
6	147	20894
7	149	18514
8	152	16788
9	153	15227
10	154	13934
11	156	12857
12	157	11953
13	158	11164
14	159	10481
15	160	9886
16	161	9349
17	162	8865
18	163	8429
19	164	8072
20	165	7717
21	166	7386
22	166	7081
23	167	6800
24	167	6542
25	168	6303
26	168	6079
27	169	5871
28	169	5676
29	170	5499
30	170	5332
31	171	5176
32	171	5028
33	172	4889
34	172	4759
35	173	4638
36	173	4522
37	174	4411
38	174	4306
39	175	4213
40	176	4119
41	176	4030
42	177	3944
43	177	3864
44	178	3785
45	179	3724
46	180	3661
47	181	3591
48	181	3523
49	182	3458
50	182	3395
51	182	3333
52	183	3275
53	183	3219
54	184	3166
55	184	3115
56	185	3065
57	185	3018
58	186	2972
59	186	2927
60	187	2884
61	187	2842
62	188	2802
63	189	2767
64	190	2734
65	190	2702
66	191	2669
67	191	2630
68	192	2596
69	192	2563
70	193	2533
71	194	2508
72	195	2481
73	195	2451
74	196	2421
75	196	2392
76	197	2364
77	197	2337
78	198	2311
79	198	2285
80	199	2260
81	199	2236
82	200	2213
83	200	2189
84	201	2165
85	201	2143
86	202	2120
87	202	2099
88	203	2079
89	203	2059
90	204	2039
91	204	2020
92	205	2000
93	205	1982
94	206	1964
95	206	1946
96	207	1928
97	207	1911
98	208	1897
99	209	1885
100	210	1873
101	210	1855
102	211	1840
103	211	1825
104	212	1810
105	212	1795
106	213	1781
107	213	1766
108	214	1752
109	215	1739
110	215	1726
111	216	1712
112	216	1699
113	217	1686
114	217	1673
115	217	1660
116	218	1648
117	218	1636
118	219	1624
119	219	1612
120	220	1601
121	221	1590
122	221	1577
123	221	1567
124	222	1556
125	222	1545
126	223	1538
127	224	1527
128	225	1519
129	225	1511
130	226	1502
131	227	1493
132	227	1483
133	228	1473
134	228	1465
135	229	1456
136	229	1447
137	230	1437
138	230	1428
139	231	1420
140	231	1412
141	232	1403
142	232	1395
143	233	1387
144	233	1379
145	234	1371
146	235	1364
147	235	1356
148	236	1348
149	236	1341
150	237	1333
151	237	1326
152	238	1320
153	239	1314
154	240	1310
155	241	1304
156	241	1297
157	242	1291
158	242	1285
159	243	1278
160	244	1271
161	244	1265
162	245	1259
163	245	1253
164	246	1246
165	246	1240
166	247	1234
167	248	1228
168	248	1222
169	249	1216
170	249	1211
171	250	1205
172	251	1200
173	251	1194
174	252	1188
175	252	1183
176	253	1177
177	253	1172
178	254	1168
179	256	1166
180	256	1159
181	256	1154
182	257	1149
183	258	1144
184	258	1139
185	259	1134
186	259	1129
187	260	1124
188	260	1119
189	261	1115
190	262	1111
191	262	1106
192	263	1102
193	264	1097
194	264	1092
195	265	1088
196	266	1085
197	266	1080
198	267	1076
199	268	1072
200	268	1067
201	269	1063
202	270	1060
203	270	1056
204	271	1053
205	272	1050
206	274	1051
207	275	1047
208	275	1043
209	276	1039
210	276	1035
211	277	1031
212	278	1027
213	278	1023
214	279	1021
215	280	1017
216	281	1014
217	281	1010
218	282	1006
219	282	1002
220	283	998
221	283	995
222	284	991
223	285	988
224	286	986
225	287	983
226	287	979
227	288	975
228	288	972
229	289	968
230	289	964
231	290	961
232	290	957
233	291	954
234	292	950
235	292	947
236	293	943
237	293	940
238	294	937
239	294	934
240	295	931
241	296	927
242	296	924
243	297	921
244	297	918
245	298	915
246	299	911
247	299	909
248	300	906
249	301	904
250	302	902
251	302	899
252	303	896
253	304	893
254	304	890
255	305	887
256	305	884
257	306	881
258	307	878
259	307	875
260	308	873
261	308	870
262	309	867
263	310	864
264	310	861
265	311	859
266	311	856
267	312	853
268	312	850
269	313	847
270	314	844
271	314	842
272	316	841
273	316	839
274	317	837
275	318	834
276	318	832
277	319	829
278	320	827
279	320	824
280	321	822
281	322	819
282	322	817
283	323	814
284	323	812
285	324	809
286	324	807
287	325	804
288	326	802
289	326	800
290	327	797
291	328	795
292	328	793
293	330	793
294	331	793
295	332	790
296	333	788
297	333	786
298	334	783
299	335	781
300	335	779
301	336	777
302	336	774
303	337	772
304	338	770
305	338	768
306	339	765
307	339	763
308	340	761
309	341	759
310	341	757
311	342	755
312	343	753
313	344	751
314	344	750
315	345	748
316	346	746
317	347	745
318	348	743
319	348	741
320	349	739
321	350	737
322	350	735
323	351	733
324	352	731
325	352	729
326	353	727
327	354	725
328	354	723
329	355	721
330	356	719
331	356	717
332	357	715
333	357	713
334	358	711
335	359	709
336	359	708
337	360	706
